POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3437, VIC",10,51,0,3,372,36,281,63,1551,8,444,11,0,602,4,350,1343,1336,629,606,0,0,0,358,219,214,11,569,2651,11715
"3438, VIC",0,27,0,0,78,3,62,11,330,0,96,4,0,142,0,81,264,272,137,143,0,0,0,70,84,46,4,127,525,2509
"3440, VIC",0,36,0,0,108,8,62,8,346,0,88,0,0,79,0,46,201,225,86,85,0,0,0,53,22,38,0,121,449,2073
"3441, VIC",6,24,0,0,107,0,46,4,284,0,68,0,0,63,0,30,94,144,55,55,0,0,0,30,11,30,0,114,275,1450
"3442, VIC",11,130,7,6,465,22,258,57,1454,4,356,0,0,366,0,241,726,837,386,469,0,6,0,263,196,149,26,497,1660,8586
"3444, VIC",10,103,0,0,371,33,235,58,1413,4,392,7,0,448,0,288,1011,1131,519,682,0,8,0,398,317,177,24,773,1657,10066
"3446, VIC",0,25,0,0,49,0,29,9,165,0,37,0,0,37,0,47,135,106,40,68,0,0,0,31,17,8,5,85,198,1101
"3447, VIC",0,6,0,0,18,3,15,3,81,0,24,0,0,24,0,15,71,56,23,36,0,0,0,20,10,11,0,52,54,524
"3448, VIC",0,13,0,0,38,0,32,3,124,0,50,0,0,46,0,32,111,82,49,68,0,0,0,33,27,23,0,87,161,981
"3450, VIC",20,145,0,9,413,17,277,39,1181,0,340,0,0,293,9,151,504,605,315,893,0,0,0,239,215,107,10,841,958,7588
"3451, VIC",3,92,0,5,251,9,180,37,797,0,224,0,0,280,4,187,672,527,343,390,0,5,0,178,134,91,7,396,1008,5819
"3453, VIC",3,13,0,0,63,5,50,20,245,0,68,0,0,91,0,71,211,161,119,149,0,3,0,75,40,30,4,149,297,1852
"3458, VIC",3,33,0,0,136,7,70,7,395,0,115,0,0,103,0,68,251,210,93,118,0,0,0,68,56,46,5,225,324,2330
"3460, VIC",0,32,0,0,144,11,77,17,445,3,143,0,0,127,0,74,238,304,133,195,0,3,0,107,79,69,0,282,319,2799
"3461, VIC",10,57,0,3,214,13,150,18,698,3,207,5,0,223,0,154,479,453,261,276,0,3,0,162,110,78,10,422,604,4614
"3462, VIC",0,17,0,0,41,6,41,8,151,0,52,0,0,61,0,42,145,116,65,92,0,0,0,62,34,14,3,115,177,1230
"3463, VIC",0,31,0,0,106,8,71,12,339,4,119,0,0,114,0,78,361,244,160,212,0,0,0,102,86,58,0,204,266,2588
"3464, VIC",0,5,0,0,11,0,14,4,74,0,28,0,0,57,0,40,181,129,86,123,0,4,0,68,33,14,0,85,227,1192
"3465, VIC",0,11,0,3,83,8,95,24,582,0,232,0,0,314,0,367,1420,1032,736,1158,0,10,0,707,648,140,26,1014,1498,10111
"3467, VIC",0,6,0,0,15,0,16,0,86,0,26,0,0,48,0,43,175,113,105,129,0,0,0,103,90,25,0,150,217,1356
"3468, VIC",0,0,0,0,4,0,4,0,26,0,7,0,0,4,0,6,41,28,17,32,0,0,0,14,15,3,0,30,30,267
"3469, VIC",0,0,0,0,3,0,6,4,19,0,15,0,0,12,0,15,21,25,24,18,0,0,0,10,9,4,0,56,30,269
"3472, VIC",0,0,0,0,12,0,6,0,79,0,49,0,0,50,0,46,212,143,96,189,0,3,0,113,97,30,7,159,197,1492
"3475, VIC",0,0,0,0,4,0,0,0,16,0,14,0,0,9,0,13,56,34,23,46,0,0,0,32,27,4,0,49,47,373
"3477, VIC",0,3,0,0,8,5,15,0,61,0,35,0,0,33,0,32,126,84,59,66,0,0,0,45,26,11,0,91,129,817
"3478, VIC",0,0,0,0,24,3,27,4,157,0,71,0,0,84,0,89,310,253,221,296,0,5,0,172,154,53,16,304,343,2584
"3480, VIC",0,0,0,0,13,0,15,4,126,0,46,0,0,53,0,60,241,186,159,203,0,0,0,93,93,23,0,197,283,1805
"3482, VIC",0,0,0,0,0,0,0,0,11,0,5,0,0,7,0,6,8,17,25,22,0,0,0,14,10,0,0,50,28,207
"3483, VIC",0,0,0,0,11,0,9,0,95,0,36,0,0,33,0,24,111,83,52,75,0,0,0,45,53,10,3,81,148,882
"3485, VIC",0,0,0,0,3,0,4,0,12,0,11,0,0,3,0,15,37,31,25,35,0,0,0,17,19,4,0,38,29,291
"3487, VIC",0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,8,12,0,13,0,0,0,4,3,0,0,8,9,82
"3488, VIC",0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,13,6,13,8,0,0,0,8,0,3,0,9,13,89
"3489, VIC",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,5,4,5,10,0,0,0,8,0,0,0,3,19,62
"3490, VIC",0,0,0,0,17,0,10,0,87,0,29,0,0,40,0,43,179,88,129,162,0,0,0,77,76,11,3,177,161,1292
"3491, VIC",0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,10,17,12,10,18,0,0,0,10,8,4,0,14,27,149
"3494, VIC",0,0,0,0,3,0,0,0,28,0,10,0,0,20,0,18,75,116,52,69,0,0,0,35,27,6,0,76,106,641
"3496, VIC",3,3,0,0,55,4,67,12,345,0,150,0,0,232,0,198,929,635,439,662,0,7,0,390,331,85,36,677,1197,6464
"3498, VIC",4,3,0,0,52,4,69,16,472,0,127,0,0,226,0,162,840,648,382,570,0,4,0,294,249,59,32,593,1155,5977
"3500, VIC",8,69,5,23,545,20,401,114,2758,21,745,18,0,1507,0,1112,3851,3792,2089,3213,0,34,10,1816,1855,573,497,3231,6266,34565
"3501, VIC",0,9,0,0,29,3,25,11,199,3,52,0,0,97,0,62,305,213,140,172,0,0,0,100,77,35,0,124,500,2146
"3505, VIC",0,6,0,0,29,3,42,10,268,6,106,4,0,192,0,155,694,470,334,536,0,4,0,266,255,48,21,554,989,5010
"3506, VIC",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,0,0,6,33
"3507, VIC",0,0,0,0,0,0,0,0,14,0,6,0,0,5,0,4,23,8,11,15,0,0,0,14,10,0,0,42,29,171
"3509, VIC",0,0,0,0,3,0,0,0,13,0,0,0,0,9,0,10,26,25,30,30,0,0,0,12,14,0,0,29,40,228
"3512, VIC",0,0,0,0,9,0,4,0,25,6,8,0,0,12,0,3,49,39,31,44,0,0,0,25,24,0,0,29,77,369
"3515, VIC",0,3,0,0,24,3,41,9,209,0,68,0,0,125,0,108,399,256,144,181,0,0,0,91,58,32,10,118,639,2516
"3516, VIC",0,0,0,0,8,3,9,3,45,0,18,0,0,37,0,27,106,89,58,60,0,0,0,41,23,11,0,76,109,722
"3517, VIC",0,0,0,0,9,0,15,0,77,0,43,0,0,45,0,53,208,122,111,179,0,0,0,116,90,22,0,179,223,1497
"3518, VIC",0,0,0,0,8,0,21,0,70,3,35,0,0,38,0,44,167,119,94,154,0,0,0,88,88,24,0,204,156,1321
"3520, VIC",0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,13,14,17,27,0,0,0,16,14,3,0,26,16,156
"3521, VIC",0,0,0,0,12,0,5,0,40,0,24,0,0,33,0,32,141,66,41,61,0,3,0,33,22,14,0,91,158,772
"3522, VIC",0,0,0,0,5,0,0,0,26,0,11,0,0,6,0,8,47,33,21,35,0,0,0,28,10,10,4,41,45,338
"3523, VIC",3,10,0,0,63,8,57,16,248,0,132,3,0,162,0,122,556,321,239,411,0,11,0,270,217,79,8,568,468,3965
"3525, VIC",0,0,0,0,18,0,13,0,103,0,53,0,0,34,0,35,172,141,92,138,0,0,0,85,69,12,10,199,186,1369
"3527, VIC",0,0,0,0,5,4,14,5,51,0,15,0,0,21,0,26,93,57,83,89,0,0,0,48,35,14,0,92,93,741
"3529, VIC",0,0,0,0,0,0,0,0,9,0,6,0,0,4,0,3,15,14,13,5,0,0,0,5,0,0,0,7,28,117
"3530, VIC",0,0,0,0,0,0,0,0,14,0,8,0,0,0,0,5,23,15,3,15,0,0,0,16,7,0,0,12,9,114
"3531, VIC",0,0,0,0,0,0,0,0,13,0,0,0,0,12,0,7,29,20,15,14,0,0,0,10,8,3,0,19,36,194
"3533, VIC",0,0,0,0,6,0,9,0,47,0,16,0,0,20,0,22,102,69,64,83,0,0,0,53,51,9,0,76,119,744
"3537, VIC",0,0,0,0,11,0,13,4,87,0,20,0,0,26,0,36,112,77,76,111,0,0,0,68,49,17,0,205,176,1094
"3540, VIC",0,0,0,0,0,0,0,0,19,0,8,0,0,10,0,6,21,28,29,41,0,0,0,25,16,0,0,43,22,263
"3542, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,22,13,17,21,0,0,0,8,8,0,0,16,24,139
"3544, VIC",0,0,0,0,0,0,0,0,17,0,16,0,0,4,0,5,21,29,29,23,0,0,0,10,9,8,0,29,48,252
"3546, VIC",0,0,0,0,0,0,8,0,38,0,10,0,0,8,0,10,35,25,30,34,0,0,0,29,24,5,0,29,56,346
"3549, VIC",0,0,0,0,24,0,16,9,204,3,45,0,0,108,0,59,261,676,222,348,0,0,0,227,261,58,133,600,754,4017
"3550, VIC",36,277,24,57,1383,76,955,185,5482,18,1321,12,0,1922,0,1478,4537,4656,2372,3205,0,32,9,1707,1483,665,213,3021,6720,41839
"3551, VIC",21,121,0,32,745,57,757,180,4065,20,1060,10,0,1651,0,1422,4528,3436,1967,2591,0,20,4,1325,888,530,107,1794,8307,35614
"3555, VIC",6,53,3,5,400,20,299,67,1807,11,515,11,0,947,0,849,2705,2124,1258,2046,0,28,3,1078,977,342,147,1798,3541,21043
"3556, VIC",7,29,0,0,183,7,171,33,934,14,261,0,0,594,0,582,1976,1415,895,1455,0,18,3,756,690,201,140,1072,2640,14088
"3557, VIC",0,3,0,0,10,0,9,0,76,0,21,0,0,38,0,39,136,62,55,72,0,3,0,33,29,14,0,72,174,853
"3558, VIC",0,0,0,0,10,0,14,6,61,0,17,0,0,16,0,41,128,86,73,126,0,0,0,51,41,15,6,138,149,971
"3559, VIC",0,0,0,0,3,0,10,0,42,0,14,0,0,14,0,18,61,58,50,45,0,0,0,40,26,7,0,87,93,563
"3561, VIC",0,8,0,0,36,0,43,9,287,5,121,0,0,128,0,166,622,421,344,514,0,0,5,311,239,57,18,447,724,4498
"3562, VIC",0,0,0,0,0,0,0,0,20,0,7,0,0,7,0,9,49,15,15,21,0,0,0,12,5,0,0,30,47,257
"3563, VIC",0,0,0,0,5,0,5,0,48,0,16,0,0,26,0,30,124,68,74,103,0,0,0,51,39,13,0,99,157,850
"3564, VIC",7,19,3,3,236,14,203,61,1419,11,412,4,0,724,0,583,2506,1576,1243,1732,0,18,5,1016,718,259,61,1367,2897,17080
"3565, VIC",0,0,0,0,3,0,0,0,10,0,6,0,0,4,0,0,15,8,6,17,0,0,0,5,3,0,0,16,36,134
"3566, VIC",0,0,0,0,0,0,0,3,33,0,23,0,0,16,0,15,63,63,46,64,0,0,0,49,23,7,0,66,99,578
"3567, VIC",0,0,0,0,3,0,5,0,40,0,5,0,0,18,0,11,82,70,44,92,0,0,0,65,47,4,0,65,111,665
"3568, VIC",0,5,0,0,31,0,31,7,175,0,69,0,0,105,0,67,417,248,235,371,0,0,0,227,186,38,3,289,432,2947
"3570, VIC",0,0,0,0,9,0,12,5,43,0,16,0,0,25,0,25,138,68,45,93,0,0,0,34,26,13,0,153,143,837
"3571, VIC",0,3,0,0,0,0,3,0,19,0,13,0,0,14,0,6,49,25,26,25,0,0,0,14,18,3,0,24,52,305
"3572, VIC",0,3,0,0,0,0,0,0,8,0,9,0,0,6,0,5,16,8,16,8,0,0,0,12,0,4,0,14,22,137
"3573, VIC",0,0,0,0,0,0,7,0,21,0,4,0,0,14,0,6,45,33,26,34,0,0,0,20,3,4,0,44,68,340
"3575, VIC",0,4,0,0,4,0,11,0,77,0,24,0,0,22,0,22,96,68,68,103,0,0,0,36,44,21,0,89,158,842
"3576, VIC",0,0,0,0,0,0,0,0,13,0,3,0,0,3,0,4,7,3,6,10,0,0,0,0,0,3,0,0,9,60
"3579, VIC",0,10,0,0,55,3,41,9,311,0,130,4,0,200,0,184,776,441,429,580,0,8,0,392,304,73,21,562,909,5450
"3580, VIC",0,0,0,0,8,0,8,4,43,0,22,0,0,28,0,38,160,76,77,181,0,0,0,98,64,14,0,127,161,1101
"3581, VIC",0,0,0,0,3,0,5,0,9,0,0,0,0,5,0,0,17,15,17,22,0,0,0,7,12,3,0,13,16,147
"3583, VIC",0,0,0,0,0,0,0,0,9,0,9,0,0,6,0,12,29,11,15,18,0,0,0,10,5,0,0,14,21,162
"3584, VIC",0,0,0,0,9,0,17,0,69,0,31,0,0,34,0,46,176,115,72,99,0,6,0,67,37,13,5,124,218,1138
"3585, VIC",9,7,0,8,148,16,134,39,881,7,266,6,0,507,0,380,1370,1388,768,1017,0,4,0,551,531,180,139,942,2220,11508
"3586, VIC",0,0,0,0,9,0,4,3,43,0,15,0,0,17,0,30,140,97,66,61,0,0,0,44,21,9,0,65,163,799
"3588, VIC",0,0,0,0,0,0,0,0,21,0,5,0,0,10,0,17,51,52,28,40,0,0,0,40,21,0,0,38,70,404
"3589, VIC",0,0,0,0,0,0,6,0,23,0,0,0,0,10,0,13,38,55,20,25,0,0,0,17,17,9,9,47,68,359
"3590, VIC",0,0,0,0,0,0,9,0,29,0,4,0,0,15,0,7,52,31,26,29,0,0,0,9,13,3,3,43,66,337
"3591, VIC",0,0,0,0,3,0,4,0,5,0,0,0,0,9,0,3,26,18,16,15,0,0,0,15,5,0,0,10,27,163
"3594, VIC",0,0,0,0,0,0,8,0,25,0,10,0,0,32,0,17,68,64,38,68,0,0,0,26,37,11,0,60,68,536
"3595, VIC",0,0,0,0,0,0,5,0,17,0,13,0,0,17,0,21,99,63,57,85,0,0,0,35,40,9,6,97,124,673
"3596, VIC",0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,4,10,11,9,13,0,0,0,9,0,3,0,22,17,103
"3597, VIC",0,0,0,0,3,0,3,0,30,0,11,0,0,23,0,6,49,68,32,42,0,0,0,26,33,7,4,45,75,458
"3599, VIC",0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,0,26,13,13,4,0,0,0,14,8,3,6,36,25,154
"3607, VIC",0,0,0,0,0,0,0,0,9,0,13,0,0,7,0,4,24,10,14,11,0,0,0,8,12,4,0,27,23,160
"3608, VIC",0,4,0,0,26,7,38,10,230,3,103,0,0,98,0,88,399,273,214,272,0,0,0,140,133,45,16,308,415,2825
"3610, VIC",0,5,0,0,18,0,12,4,108,0,44,0,0,68,0,61,199,138,118,282,0,5,0,88,73,21,6,155,207,1600
"3612, VIC",0,5,0,0,15,0,15,5,93,6,51,0,0,66,0,67,239,152,138,187,0,5,0,143,99,40,3,252,220,1801
"3614, VIC",0,4,0,0,23,0,7,3,90,5,27,0,0,40,0,34,141,86,55,80,0,4,0,26,16,16,0,69,212,927
"3616, VIC",3,19,0,0,81,5,86,10,457,3,136,0,0,288,0,187,673,576,375,493,0,5,0,258,290,75,36,547,996,5605
"3617, VIC",0,0,0,0,0,0,0,0,11,0,5,0,0,5,0,6,16,23,13,20,0,0,0,11,5,3,0,11,28,161
"3618, VIC",0,0,0,0,4,0,7,0,24,0,15,0,0,34,0,21,84,74,52,72,0,0,0,54,27,17,0,96,97,679
"3620, VIC",0,5,0,0,89,8,92,14,559,0,226,4,0,353,0,282,1150,777,591,902,0,9,0,524,469,110,14,727,1443,8340
"3621, VIC",0,0,0,0,20,0,13,3,137,0,53,0,0,95,0,78,367,229,181,249,0,0,0,140,102,42,3,208,510,2437
"3622, VIC",0,0,0,0,3,0,4,0,43,0,14,0,0,26,0,17,67,47,27,70,0,0,0,28,22,5,0,50,114,537
"3623, VIC",0,3,0,0,4,0,10,3,52,0,23,0,0,31,0,38,117,87,73,100,0,0,0,62,57,14,0,78,140,890
"3624, VIC",0,0,0,0,0,0,3,0,27,0,16,0,0,17,0,28,73,42,51,74,0,0,0,38,39,5,0,57,107,563
"3629, VIC",0,4,0,0,109,8,104,22,518,3,182,0,0,416,0,332,1174,931,656,950,0,8,5,569,500,150,76,1197,1620,9536
"3630, VIC",14,47,16,28,686,32,429,89,2583,26,698,4,0,1401,0,1062,3218,3502,2035,2757,0,34,7,1657,1656,446,576,2974,6172,32151
"3631, VIC",3,40,0,16,305,24,242,58,1422,9,385,3,0,711,0,468,1693,1618,921,1131,0,6,4,590,501,229,123,839,3263,14605
"3633, VIC",0,6,0,0,9,0,6,0,56,0,21,0,0,38,0,21,81,72,46,70,0,0,0,30,15,3,6,37,117,620
"3634, VIC",0,8,0,0,29,0,31,6,137,0,56,3,0,71,0,66,254,187,117,186,0,3,0,91,55,27,6,169,389,1888
"3635, VIC",0,0,0,0,7,0,4,3,24,0,17,0,0,24,0,25,82,52,41,69,0,0,0,34,22,10,0,59,81,552
"3636, VIC",4,10,0,0,43,3,62,15,339,3,141,3,0,213,0,196,695,485,390,591,0,8,0,316,272,93,25,603,876,5375
"3637, VIC",0,0,0,0,5,0,5,4,25,0,17,0,0,23,0,24,95,50,43,57,0,0,0,34,28,6,0,63,150,642
"3638, VIC",0,0,0,0,27,0,24,3,151,0,56,4,0,84,0,75,323,257,146,214,0,0,0,169,96,28,3,180,363,2199
