POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3670, VIC",0,5,0,0,7,0,6,5,47,0,15,0,0,22,0,24,97,60,41,70,0,0,0,32,17,12,0,47,81,596
"3672, VIC",3,18,0,4,199,10,147,35,795,5,363,3,0,482,0,412,1421,1052,814,1015,0,8,0,563,559,179,35,1177,1507,10822
"3673, VIC",0,7,0,0,25,0,35,9,191,0,76,0,0,95,0,59,281,161,112,175,0,0,0,74,48,40,0,171,256,1818
"3675, VIC",3,6,0,0,38,0,48,15,202,0,77,0,0,98,0,85,278,149,126,142,0,0,0,92,36,31,0,161,346,1936
"3677, VIC",8,37,3,8,367,20,305,101,1731,10,530,6,0,904,6,760,2418,1809,1299,1811,0,8,0,972,838,307,73,1570,3312,19214
"3678, VIC",9,19,4,13,141,10,137,34,744,9,266,0,0,319,0,212,938,551,448,513,0,3,0,268,166,110,9,466,1197,6568
"3682, VIC",0,5,0,0,4,0,10,5,47,0,26,0,0,27,0,24,93,47,34,72,0,0,0,38,6,16,0,51,137,645
"3683, VIC",0,8,0,0,25,3,26,13,156,0,54,0,0,82,0,63,275,155,121,191,0,0,0,88,50,37,6,148,250,1748
"3685, VIC",3,13,0,0,54,3,58,12,282,3,105,0,0,129,0,92,429,253,211,323,0,3,0,144,88,60,7,201,474,2935
"3687, VIC",0,0,0,0,3,0,9,5,70,0,24,0,0,48,0,32,182,113,82,109,0,0,0,60,45,19,0,80,170,1061
"3688, VIC",0,10,0,0,23,0,24,9,98,0,36,0,0,61,0,73,216,127,64,122,0,0,0,57,30,13,0,114,257,1334
"3690, VIC",12,80,3,19,594,38,498,148,2843,18,920,21,0,1839,0,1710,4795,3412,2141,3482,0,25,3,1493,1152,603,182,2286,6721,35051
"3695, VIC",0,0,0,0,5,3,9,0,62,0,16,0,0,28,0,30,66,42,29,40,0,0,0,32,15,9,0,25,84,488
"3697, VIC",0,8,0,0,12,0,23,5,81,0,20,0,0,24,0,25,69,49,36,53,0,0,0,19,8,14,0,36,89,568
"3698, VIC",0,8,0,0,47,0,27,3,172,0,55,0,0,49,0,31,130,83,66,40,0,0,0,29,19,18,0,83,154,1012
